cluster,BMI,ORRECIPEDESC,count
3,22,salata de rosii,7
3,23,cafea cu zahar,10
3,23,cafea cu lapte (fara zahar),8
3,23,bors de fasole,6
3,24,salata de vinete,20
3,24,cafea cu lapte (fara zahar),17
3,24,bors de gaina,10
3,25,ciorba taraneasca,16
3,25,salata de vinete,12
3,25,macaroane cu branza,8
3,26,bors de gaina,23
3,26,salata de vinete,18
3,26,prajitura de casa,15
3,27,salata de vinete,20
3,27,salata de varza,18
3,27,bors de gaina,15
3,28,salata de vinete,20
3,28,salata,15
3,28,salata de varza,14
3,29,bors de gaina,11
3,29,pilaf de orez,10
3,29,bors de fasole,9
3,30,salata de vinete,13
3,30,ciorba de perisoare,13
3,30,salata de varza,12
3,31,ciorba de perisoare,8
3,31,ciorba taraneasca,7
3,31,cozonac,7
3,32,sarmale cu carne,17
3,32,ciorba taraneasca,10
3,32,ciorba de perisoare,9
3,33,sarmale cu carne,8
3,33,ciorba de perisoare,6
3,33,salata de varza,6
3,34,salata de vinete,9
3,34,salata de varza,8
3,34,salata de rosii,8
3,35,sarmale cu carne,3
3,35,piftie,3
3,35,ciorba de legume cu galuste,3
3,36,bors de gaina,9
3,36,sandvis,6
3,36,prajitura de casa,5
3,37,bors de gaina,2
3,37,mancare de mazare verde,2
3,37,bors cu carne de porc,1
3,38,cafea cu lapte (fara zahar),3
3,38,chec,3
3,38,ciorba de zarzavat,3
3,39,bors de gaina,4
3,39,salata de vinete,3
3,39,supa cu taietei,3
3,40,salata de vinete,3
3,40,ciorba de perisoare,2
3,40,ciorba de zarzavat,2
3,41,ciorba de burta,3
3,41,iahnie de fasole,2
3,41,snitel de porc,2
3,42,cozonac,2
3,42,salata de rosii si castraveti,2
3,42,prajitura cu mere,1
3,43,mancare gatita,5
3,43,supa,4
3,43,ciorba taraneasca,3
4,19,supa de vita,2
4,19,snitel de soia,2
4,19,mancare de limba vita cu sos si masline,2
4,20,ciorba de zarzavat,3
4,20,bors de cartofi,2
4,20,bors de fasole,2
4,21,ciorba taraneasca,5
4,21,mujdei de usturoi,4
4,21,cafea cu lapte (fara zahar),4
4,22,bors de gaina,11
4,22,bors de fasole,8
4,22,salata de vinete,7
4,23,bors de fasole,14
4,23,cafea cu lapte (fara zahar),14
4,23,supa de pasare,9
4,24,ciorba taraneasca,18
4,24,prajitura de casa,16
4,24,supa de pasare,15
4,25,bors de gaina,22
4,25,ciorba taraneasca,21
4,25,salata de rosii,14
4,26,cafea cu lapte (fara zahar),19
4,26,bors de fasole,15
4,26,salata de vinete,13
4,27,ciorba de perisoare,21
4,27,ciorba taraneasca,19
4,27,bors de gaina,17
4,28,bors de fasole,18
4,28,ciorba taraneasca,13
4,28,supa de pasare,11
4,29,bors de gaina,15
4,29,salata de vinete,13
4,29,ciorba taraneasca,11
4,30,ciorba taraneasca,17
4,30,salata de vinete,15
4,30,bors de gaina,14
4,31,piure de cartofi,10
4,31,ciorba de perisoare,10
4,31,sarmale cu carne,9
4,32,ciorba taraneasca,15
4,32,sarmale cu carne,12
4,32,bors de gaina,12
4,33,ciorba taraneasca,14
4,33,bors pui (cu delikat),4
4,33,cafea cu lapte (fara zahar),4
4,34,bors de fasole,6
4,34,ardei umpluti,6
4,34,ciorba de perisoare,6
4,35,cafea cu lapte si zahar,6
4,35,macaroane cu branza,3
4,35,pilaf de orez,3
4,36,cafea cu lapte (fara zahar),7
4,36,salata de legume,4
4,36,ciorba de fasole verde,4
4,37,bors de fasole,4
4,37,pizza,3
4,37,cozonac,3
4,38,ciorba de zarzavat,3
4,38,tocanita de ciuperci,2
4,38,pilaf de orez,1
4,39,supa cu taietei,3
4,39,macaroane cu carne,2
4,39,papara din oua,2
4,40,bors pui (cu delikat),3
4,40,branza cu smantana,2
4,40,placinta cu branza,2
4,41,ciorba de perisoare,2
4,41,branzoaica,1
4,41,chiftele cu sos marinat,1
4,43,placinta cu branza,2
4,43,supa de pasare cu taietei,1
4,43,supa,1
